season_year,team_id,team_abbreviation,team_name,gp,w,l,min,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct
2020-21,1610612737,ATL,Atlanta Hawks,72,41,31,241.7,7,4.8,35.1,17.5,27.3,0.642
2020-21,1610612738,BOS,Boston Celtics,72,36,36,241.4,7.7,5.3,33.6,15.8,24.9,0.636
2020-21,1610612751,BKN,Brooklyn Nets,72,48,24,241.7,6.7,5.3,35.5,15.8,24.4,0.647
2020-21,1610612766,CHA,Charlotte Hornets,72,33,39,241,7.8,4.8,33.2,17.6,26.9,0.654
2020-21,1610612741,CHI,Chicago Bulls,72,31,41,241.4,6.7,4.2,35.3,16.9,26.7,0.634
2020-21,1610612739,CLE,Cleveland Cavaliers,72,22,50,242.1,7.8,4.5,32.3,18.3,29,0.63
2020-21,1610612742,DAL,Dallas Mavericks,72,42,30,240.3,6.3,4.3,34.2,15.5,24.3,0.64
2020-21,1610612743,DEN,Denver Nuggets,72,47,25,242.8,8.1,4.5,33.9,17,25.4,0.669
2020-21,1610612765,DET,Detroit Pistons,72,20,52,242.1,7.4,5.2,33.1,17.8,27.8,0.637
2020-21,1610612744,GSW,Golden State Warriors,72,39,33,240.3,8.2,4.8,35.1,16.4,26.7,0.616
2020-21,1610612745,HOU,Houston Rockets,72,17,55,240.3,7.6,5,33.3,17.5,27.1,0.647
2020-21,1610612754,IND,Indiana Pacers,72,34,38,242.4,8.5,6.4,33.7,19.8,32.4,0.611
2020-21,1610612746,LAC,LA Clippers,72,47,25,240,7.1,4.1,34.7,15.5,24.1,0.642
2020-21,1610612747,LAL,Los Angeles Lakers,72,42,30,242.4,7.8,5.4,34.6,17,26.2,0.65
2020-21,1610612763,MEM,Memphis Grizzlies,72,38,34,241.7,9.1,5.1,35.3,16,25.4,0.627
2020-21,1610612748,MIA,Miami Heat,72,40,32,241.4,7.9,4,33.5,15.1,23.5,0.642
2020-21,1610612749,MIL,Milwaukee Bucks,72,46,26,240.7,8.1,4.6,37.8,14.2,23.9,0.594
2020-21,1610612750,MIN,Minnesota Timberwolves,72,23,49,241.7,8.8,5.5,33,18.5,29.1,0.637
2020-21,1610612740,NOP,New Orleans Pelicans,72,31,41,242.1,7.6,4.4,35.7,16.3,24.4,0.669
2020-21,1610612752,NYK,New York Knicks,72,41,31,242.1,7,5.1,35.5,15.6,25.6,0.608
2020-21,1610612760,OKC,Oklahoma City Thunder,72,22,50,241,7,4.4,35.7,17.9,27.2,0.656
2020-21,1610612753,ORL,Orlando Magic,72,21,51,240.7,6.9,4.4,35.1,17.3,26.7,0.649
2020-21,1610612755,PHI,Philadelphia 76ers,72,49,23,242.1,9.1,6.2,35,16.5,25.8,0.639
2020-21,1610612756,PHX,Phoenix Suns,72,51,21,242.8,7.2,4.3,34.2,16.4,24.9,0.658
2020-21,1610612757,POR,Portland Trail Blazers,72,42,30,240.3,6.9,5,33.9,17,25.6,0.662
2020-21,1610612758,SAC,Sacramento Kings,72,31,41,240.3,7.5,5,32,19.1,29.3,0.651
