season_id,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season_year
22021,1610612751,BKN,Brooklyn Nets,Isolation,Offensive,0.931,23,0.117,1.014,0.404,0.159,0.107,0.141,0.034,0.434,0.473,12.6,12.8,3.9,9.7,5.8,2021-22
22021,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.517,24,0.103,0.87,0.375,0.101,0.094,0.087,0.007,0.395,0.431,11.5,10,3.5,9.3,5.8,2021-22
22021,1610612749,MIL,Milwaukee Bucks,Isolation,Offensive,0.379,24,0.098,0.855,0.418,0.115,0.122,0.107,0.031,0.405,0.452,10.9,9.3,3.6,8.7,5,2021-22
22021,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.69,22,0.098,0.887,0.378,0.143,0.097,0.13,0.017,0.416,0.43,10.8,9.6,3.2,8.4,5.2,2021-22
22021,1610612741,CHI,Chicago Bulls,Isolation,Offensive,1,24,0.068,1.114,0.521,0.142,0.08,0.136,0.04,0.528,0.549,7.3,8.2,3.1,6,2.9,2021-22
22021,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.643,23,0.083,0.882,0.381,0.104,0.1,0.086,0.023,0.389,0.45,9.6,8.5,3,7.9,4.9,2021-22
22021,1610612752,NYK,New York Knicks,Isolation,Offensive,0.586,23,0.088,0.878,0.392,0.109,0.104,0.109,0.032,0.398,0.439,9.6,8.4,3.1,7.9,4.8,2021-22
22021,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.276,24,0.086,0.819,0.405,0.076,0.114,0.076,0.013,0.397,0.431,9.9,8.1,3.3,8.1,4.8,2021-22
22021,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.345,23,0.088,0.849,0.4,0.089,0.102,0.08,0.013,0.404,0.438,9.8,8.3,3.2,8,4.8,2021-22
22021,1610612764,WAS,Washington Wizards,Isolation,Offensive,0.643,23,0.082,0.882,0.384,0.088,0.083,0.069,0.015,0.397,0.436,8.9,7.8,2.9,7.5,4.6,2021-22
22021,1610612746,LAC,LA Clippers,Isolation,Offensive,0.069,24,0.087,0.737,0.349,0.061,0.105,0.053,0.009,0.338,0.398,9.5,7,2.8,8,5.2,2021-22
22021,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.241,24,0.075,0.818,0.37,0.091,0.091,0.066,0.015,0.379,0.409,8.3,6.8,2.5,6.9,4.3,2021-22
22021,1610612766,CHA,Charlotte Hornets,Isolation,Offensive,0.448,24,0.065,0.867,0.377,0.106,0.067,0.106,0.056,0.383,0.418,7.5,6.5,2.5,6.6,4.1,2021-22
22021,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.414,22,0.071,0.86,0.391,0.169,0.107,0.146,0.022,0.416,0.451,8.1,7,2.4,6,3.7,2021-22
