season_year,season_id,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
2020-21,22020,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,1,72,0.102,1.055,0.432,0.14,0.063,0.122,0.028,0.464,0.503,11.3,11.9,4,9.3,5.3
2020-21,22020,1610612751,BKN,Brooklyn Nets,Isolation,Offensive,0.966,72,0.099,1.046,0.449,0.13,0.087,0.118,0.032,0.461,0.519,10.9,11.4,4,8.9,4.9
2020-21,22020,1610612749,MIL,Milwaukee Bucks,Isolation,Offensive,0.862,72,0.086,0.986,0.452,0.121,0.09,0.1,0.02,0.463,0.501,9.8,9.7,3.6,7.9,4.3
2020-21,22020,1610612752,NYK,New York Knicks,Isolation,Offensive,0.552,72,0.085,0.922,0.424,0.108,0.096,0.101,0.026,0.429,0.469,9.1,8.4,3.2,7.5,4.3
2020-21,22020,1610612746,LAC,LA Clippers,Isolation,Offensive,0.724,72,0.081,0.938,0.413,0.098,0.07,0.083,0.01,0.432,0.459,8.7,8.1,3,7.3,4.3
2020-21,22020,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.379,72,0.078,0.877,0.378,0.111,0.084,0.1,0.013,0.404,0.432,8.8,7.7,2.7,7.2,4.5
2020-21,22020,1610612764,WAS,Washington Wizards,Isolation,Offensive,0.069,72,0.084,0.793,0.391,0.119,0.118,0.114,0.03,0.391,0.407,9.7,7.7,3,7.7,4.7
2020-21,22020,1610612738,BOS,Boston Celtics,Isolation,Offensive,0.207,72,0.078,0.845,0.365,0.089,0.097,0.074,0.01,0.377,0.423,8.6,7.3,2.6,7.1,4.5
2020-21,22020,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.138,72,0.079,0.827,0.389,0.114,0.105,0.11,0.024,0.4,0.418,8.8,7.2,2.7,7,4.3
2020-21,22020,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.276,72,0.071,0.848,0.405,0.114,0.124,0.109,0.021,0.404,0.44,8,6.8,2.5,6.3,3.7
2020-21,22020,1610612742,DAL,Dallas Mavericks,Isolation,Offensive,0.828,72,0.062,0.962,0.426,0.098,0.09,0.081,0.021,0.43,0.497,6.7,6.4,2.4,5.5,3.2
2020-21,22020,1610612756,PHX,Phoenix Suns,Isolation,Offensive,0.759,72,0.06,0.957,0.438,0.094,0.083,0.092,0.019,0.442,0.482,6.5,6.2,2.4,5.5,3.1
2020-21,22020,1610612766,CHA,Charlotte Hornets,Isolation,Offensive,0.931,72,0.053,0.991,0.439,0.122,0.089,0.115,0.012,0.459,0.491,5.9,5.9,2.1,4.8,2.7
2020-21,22020,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.69,72,0.057,0.929,0.433,0.091,0.091,0.084,0.024,0.431,0.471,6.3,5.8,2.3,5.3,3
2020-21,22020,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.31,72,0.061,0.849,0.389,0.122,0.091,0.107,0.025,0.409,0.416,6.7,5.7,2.1,5.5,3.3
2020-21,22020,1610612759,SAS,San Antonio Spurs,Isolation,Offensive,0.897,72,0.052,0.988,0.463,0.15,0.077,0.143,0.044,0.477,0.478,5.7,5.7,2.2,4.7,2.5
2020-21,22020,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.793,72,0.053,0.958,0.485,0.129,0.113,0.111,0.028,0.478,0.5,5.9,5.7,2.3,4.6,2.4
2020-21,22020,1610612740,NOP,New Orleans Pelicans,Isolation,Offensive,0.483,72,0.053,0.897,0.43,0.164,0.121,0.158,0.025,0.45,0.452,6.1,5.5,1.9,4.5,2.6
2020-21,22020,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.345,72,0.053,0.876,0.369,0.121,0.092,0.108,0.018,0.394,0.433,6.1,5.3,1.8,4.9,3.1
