team_id,team_abbreviation,team_name,gp,w,l,min,passes_made,passes_received,ast,ft_ast,secondary_ast,potential_ast,ast_points_created,ast_adj,ast_to_pass_pct,ast_to_pass_pct_adj,season_year
1610612737,ATL,Atlanta Hawks,23,12,11,240,264.7,264.7,23.6,2,2.9,42.3,59.2,28.5,0.089,0.108,2021-22
1610612738,BOS,Boston Celtics,24,13,11,246.2,285.3,285.6,22.7,2,3.5,45.4,58.7,28,0.079,0.098,2021-22
1610612751,BKN,Brooklyn Nets,23,16,7,240,267.5,267.5,25.5,2.1,2.7,46.8,63.8,30.2,0.095,0.113,2021-22
1610612766,CHA,Charlotte Hornets,23,13,10,243.3,296.3,296.3,26.4,2.6,3.8,49,69.5,32.8,0.089,0.111,2021-22
1610612741,CHI,Chicago Bulls,24,16,8,240,273.2,273.2,23.3,2.5,3.6,45.2,60.6,29.5,0.085,0.108,2021-22
1610612739,CLE,Cleveland Cavaliers,23,13,10,240,299.3,299.2,24.4,2.9,3.8,48.6,63.1,31,0.082,0.104,2021-22
1610612742,DAL,Dallas Mavericks,22,11,11,241.1,271.3,271.3,22.5,2.2,3.1,45.6,58.9,27.8,0.083,0.103,2021-22
1610612743,DEN,Denver Nuggets,22,11,11,240,308.3,308.4,24.3,2.3,3.1,46.6,62.5,29.6,0.079,0.096,2021-22
1610612765,DET,Detroit Pistons,22,4,18,240,316.8,316.7,21.3,2.3,3.4,47.6,56.3,27,0.067,0.085,2021-22
1610612744,GSW,Golden State Warriors,23,19,4,241.1,317.5,317.5,29,3.3,5.4,55,75.6,37.7,0.091,0.119,2021-22
1610612745,HOU,Houston Rockets,22,6,16,241.1,276.5,276.5,22.5,2.6,2.1,44.5,59.5,27.2,0.082,0.098,2021-22
1610612754,IND,Indiana Pacers,25,9,16,243,314.9,314.9,23.6,2.3,2.6,46.4,61.4,28.6,0.075,0.091,2021-22
1610612746,LAC,LA Clippers,24,12,12,241,277.5,277.5,23,2.5,3.2,44.2,61,28.7,0.083,0.103,2021-22
1610612747,LAL,Los Angeles Lakers,24,12,12,247.3,287.8,287.8,24.5,2.1,2.9,47.1,62.5,29.4,0.085,0.102,2021-22
1610612763,MEM,Memphis Grizzlies,23,13,10,242.2,281.4,281.4,25.5,2,3.7,49.4,64.8,31.2,0.091,0.111,2021-22
1610612748,MIA,Miami Heat,24,14,10,242.1,293.9,293.9,24.4,2.8,3.3,50,64.1,30.4,0.083,0.104,2021-22
1610612749,MIL,Milwaukee Bucks,24,15,9,241,261.6,261.6,23.1,2.1,3.3,46.1,62.2,28.5,0.088,0.109,2021-22
1610612750,MIN,Minnesota Timberwolves,23,11,12,243.3,286.3,286.3,23.2,1.7,3.3,49.2,60.3,28.1,0.081,0.098,2021-22
1610612740,NOP,New Orleans Pelicans,25,7,18,240,304.9,304.9,24,2.4,3.4,47.5,62.5,29.9,0.079,0.098,2021-22
1610612752,NYK,New York Knicks,23,11,12,242.2,271,271,21.6,1.7,2.5,39.7,55.7,25.7,0.08,0.095,2021-22
1610612760,OKC,Oklahoma City Thunder,22,6,16,240,290.4,290.4,19.7,2.3,2.1,46,52.4,24.1,0.068,0.083,2021-22
1610612753,ORL,Orlando Magic,24,5,19,240,278.7,278.7,21.8,2,2,46.5,57,25.6,0.078,0.092,2021-22
1610612755,PHI,Philadelphia 76ers,23,12,11,242.2,298.8,298.8,22.5,1.2,3.4,40.1,57.1,27.1,0.075,0.091,2021-22
1610612756,PHX,Phoenix Suns,23,19,4,240,261.3,261.3,26.1,2.7,3.1,49.8,66.6,31.8,0.1,0.122,2021-22
1610612757,POR,Portland Trail Blazers,24,11,13,240,271,271,23.3,2.5,3.3,44.2,61.6,29.1,0.086,0.107,2021-22
1610612758,SAC,Sacramento Kings,23,9,14,243.3,288.6,288.6,22.1,2.1,2.5,43.2,56.8,26.6,0.077,0.092,2021-22
1610612759,SAS,San Antonio Spurs,21,8,13,241.2,291.2,291.2,27.5,2.6,2.4,48.6,68.6,32.4,0.094,0.111,2021-22
1610612761,TOR,Toronto Raptors,23,10,13,240,268.7,268.8,20.7,1.7,2.7,42.3,52.7,24.8,0.077,0.092,2021-22
1610612762,UTA,Utah Jazz,22,15,7,240,269.7,269.7,22.2,2.5,3.6,43.6,60.2,28.2,0.082,0.104,2021-22
1610612764,WAS,Washington Wizards,23,14,9,243.3,283.7,283.7,23.7,2.4,2.7,44,60.8,28.7,0.084,0.101,2021-22
