season_year,team_id,team_abbreviation,team_name,gp,w,l,min,passes_made,passes_received,ast,ft_ast,secondary_ast,potential_ast,ast_points_created,ast_adj,ast_to_pass_pct,ast_to_pass_pct_adj
2020-21,1610612737,ATL,Atlanta Hawks,72,41,31,241.7,274.1,274.1,24.1,2.7,3,45.5,62.9,29.8,0.088,0.109
2020-21,1610612738,BOS,Boston Celtics,72,36,36,241.4,284.7,284.8,23.5,1.8,2.6,41.4,60.5,27.8,0.082,0.098
2020-21,1610612751,BKN,Brooklyn Nets,72,48,24,241.7,277.3,277.3,26.8,2.6,3.3,47.6,69.5,32.5,0.097,0.117
2020-21,1610612766,CHA,Charlotte Hornets,72,33,39,241,304.8,304.8,26.8,2.7,3.7,49.3,70.1,33.2,0.088,0.109
2020-21,1610612741,CHI,Chicago Bulls,72,31,41,241.4,291,291.3,26.8,2.1,3.9,48.6,68.1,32.7,0.092,0.112
2020-21,1610612739,CLE,Cleveland Cavaliers,72,22,50,242.1,303.1,303,23.8,2.9,3,45.1,60.6,29.5,0.079,0.097
2020-21,1610612742,DAL,Dallas Mavericks,72,42,30,240.3,274.9,274.8,22.9,2,3.2,43.2,59.2,27.6,0.083,0.1
2020-21,1610612743,DEN,Denver Nuggets,72,47,25,242.8,295.3,295.3,26.8,2.2,4.1,48.3,68.6,32.9,0.091,0.111
2020-21,1610612765,DET,Detroit Pistons,72,20,52,242.1,287.2,287.3,24.2,2.3,2.3,45.7,62.5,28.5,0.084,0.099
2020-21,1610612744,GSW,Golden State Warriors,72,39,33,240.3,307.5,307.4,27.7,2.2,4.5,49.6,71.1,34.2,0.09,0.111
2020-21,1610612745,HOU,Houston Rockets,72,17,55,240.3,277.1,277.1,23.6,2.1,3,46.7,61.3,28.3,0.085,0.102
2020-21,1610612754,IND,Indiana Pacers,72,34,38,242.4,307.6,307.6,27.4,2.7,3.1,48,70.8,33.2,0.089,0.108
2020-21,1610612746,LAC,LA Clippers,72,47,25,240,281,281,24.4,1.9,3.8,43.1,64,29.8,0.087,0.106
2020-21,1610612747,LAL,Los Angeles Lakers,72,42,30,242.4,303.4,303.4,24.7,2.4,4.1,46,63.1,31,0.081,0.102
2020-21,1610612763,MEM,Memphis Grizzlies,72,38,34,241.7,279.1,279.1,26.9,2,3.7,46.7,66.6,32.2,0.096,0.115
2020-21,1610612748,MIA,Miami Heat,72,40,32,241.4,285.2,285.2,26.3,2.7,2.7,51.4,69,31.6,0.092,0.111
2020-21,1610612749,MIL,Milwaukee Bucks,72,46,26,240.7,254.8,254.8,25.5,2.3,2.6,46.7,66.2,30.2,0.1,0.118
2020-21,1610612750,MIN,Minnesota Timberwolves,72,23,49,241.7,295.6,295.6,25.6,2.7,3,49.3,67.1,31.3,0.087,0.106
2020-21,1610612740,NOP,New Orleans Pelicans,72,31,41,242.1,291.6,291.5,26,2.9,3.2,46.5,66.3,31.9,0.089,0.11
2020-21,1610612752,NYK,New York Knicks,72,41,31,242.1,276.2,276.2,21.4,1.8,2.1,39.4,55.6,25.1,0.077,0.091
2020-21,1610612760,OKC,Oklahoma City Thunder,72,22,50,241,286.1,286.1,22.1,2,2.8,42.9,56.8,26.6,0.077,0.093
2020-21,1610612753,ORL,Orlando Magic,72,21,51,240.7,269.5,269.5,21.8,2.2,2.5,43.7,56.7,26.4,0.081,0.098
2020-21,1610612755,PHI,Philadelphia 76ers,72,49,23,242.1,308,307.9,23.7,2.4,3.2,42,62,29.2,0.077,0.095
2020-21,1610612756,PHX,Phoenix Suns,72,51,21,242.8,284.2,284.3,26.9,2.6,3.7,50.1,69.3,32.9,0.095,0.116
2020-21,1610612757,POR,Portland Trail Blazers,72,42,30,240.3,244.6,244.6,21.3,1.8,2.7,39.3,55.9,25.3,0.087,0.103
2020-21,1610612758,SAC,Sacramento Kings,72,31,41,240.3,279.5,279.5,25.5,2.5,2.7,45.4,64.3,30.3,0.091,0.108
2020-21,1610612759,SAS,San Antonio Spurs,72,33,39,242.8,262.4,262.4,24.4,2,2.4,43.3,61,28.6,0.093,0.109
2020-21,1610612761,TOR,Toronto Raptors,72,27,45,240.3,291.4,291.4,24.1,2.4,3,47.3,64.3,29.4,0.083,0.101
2020-21,1610612762,UTA,Utah Jazz,72,52,20,241,289.4,289.4,23.7,2.5,3.5,44.9,64.4,29.6,0.082,0.102
