season_id,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season_year
22021,1610612737,ATL,Atlanta Hawks,PRBallHandler,Offensive,0.862,23,0.256,0.944,0.447,0.08,0.133,0.055,0.017,0.422,0.501,27.8,26.3,10,22.4,12.4,2021-22
22021,1610612762,UTA,Utah Jazz,PRBallHandler,Offensive,1,22,0.236,1.023,0.481,0.074,0.136,0.065,0.023,0.441,0.56,25.7,26.3,10,20.9,10.8,2021-22
22021,1610612758,SAC,Sacramento Kings,PRBallHandler,Offensive,0.586,24,0.236,0.86,0.409,0.085,0.116,0.081,0.017,0.398,0.45,26.9,23.1,9,21.9,13,2021-22
22021,1610612757,POR,Portland Trail Blazers,PRBallHandler,Offensive,0.931,24,0.202,0.955,0.421,0.093,0.095,0.081,0.025,0.418,0.488,22,21,8,18.4,10.7,2021-22
22021,1610612741,CHI,Chicago Bulls,PRBallHandler,Offensive,0.724,24,0.21,0.887,0.434,0.09,0.132,0.077,0.013,0.42,0.472,22.8,20.2,8,18,10.2,2021-22
22021,1610612754,IND,Indiana Pacers,PRBallHandler,Offensive,0.897,25,0.183,0.952,0.467,0.091,0.123,0.071,0.016,0.448,0.505,20.2,19.2,8,16.2,8.6,2021-22
22021,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.966,23,0.199,0.977,0.464,0.087,0.093,0.076,0.031,0.445,0.506,21.1,20.6,8,17.9,9.6,2021-22
22021,1610612752,NYK,New York Knicks,PRBallHandler,Offensive,0.552,23,0.216,0.856,0.388,0.061,0.134,0.055,0.011,0.365,0.46,23.6,20.2,7,19.3,11.8,2021-22
22021,1610612742,DAL,Dallas Mavericks,PRBallHandler,Offensive,0.828,22,0.205,0.932,0.447,0.086,0.115,0.078,0.016,0.427,0.504,22.1,20.6,8,18,10,2021-22
22021,1610612756,PHX,Phoenix Suns,PRBallHandler,Offensive,0.793,23,0.192,0.917,0.44,0.114,0.124,0.085,0.012,0.438,0.473,21,19.3,7,16.3,9.1,2021-22
