season_year,season_id,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx
2020-21,22020,1610612762,UTA,Utah Jazz,PRBallHandler,Offensive,0.966,72,0.224,0.988,0.451,0.089,0.136,0.073,0.013,0.43,0.531,24.8,24.5,8.8,19.5,10.7
2020-21,22020,1610612742,DAL,Dallas Mavericks,PRBallHandler,Offensive,0.931,72,0.218,0.983,0.486,0.104,0.14,0.094,0.022,0.454,0.541,23.5,23.1,8.9,18.2,9.4
2020-21,22020,1610612737,ATL,Atlanta Hawks,PRBallHandler,Offensive,0.793,72,0.223,0.932,0.43,0.108,0.14,0.09,0.013,0.423,0.485,24.7,23,8.1,18.9,10.8
2020-21,22020,1610612757,POR,Portland Trail Blazers,PRBallHandler,Offensive,1,72,0.205,1.003,0.421,0.105,0.102,0.094,0.02,0.426,0.508,22.8,22.9,7.8,18.5,10.7
2020-21,22020,1610612759,SAS,San Antonio Spurs,PRBallHandler,Offensive,0.379,72,0.222,0.871,0.429,0.091,0.113,0.085,0.019,0.421,0.452,24.6,21.4,8.6,20,11.4
2020-21,22020,1610612752,NYK,New York Knicks,PRBallHandler,Offensive,0.414,72,0.223,0.877,0.423,0.097,0.112,0.087,0.022,0.414,0.454,24,21,8.2,19.5,11.2
2020-21,22020,1610612758,SAC,Sacramento Kings,PRBallHandler,Offensive,0.655,72,0.2,0.909,0.444,0.11,0.131,0.102,0.026,0.427,0.488,22.2,20.2,7.7,17.4,9.7
2020-21,22020,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.759,72,0.191,0.931,0.42,0.078,0.123,0.068,0.016,0.404,0.491,21.3,19.8,7.3,17.3,10
2020-21,22020,1610612746,LAC,LA Clippers,PRBallHandler,Offensive,0.724,72,0.198,0.928,0.45,0.1,0.144,0.087,0.021,0.426,0.496,21.3,19.8,7.4,16.5,9.1
2020-21,22020,1610612753,ORL,Orlando Magic,PRBallHandler,Offensive,0.034,72,0.218,0.807,0.385,0.096,0.146,0.088,0.024,0.368,0.428,24.1,19.5,7.3,18.9,11.6
2020-21,22020,1610612763,MEM,Memphis Grizzlies,PRBallHandler,Offensive,0.172,72,0.203,0.818,0.417,0.1,0.155,0.088,0.019,0.396,0.443,23.1,18.9,7.4,17.7,10.3
2020-21,22020,1610612756,PHX,Phoenix Suns,PRBallHandler,Offensive,0.897,72,0.174,0.978,0.498,0.086,0.137,0.065,0.012,0.466,0.529,18.8,18.4,7.4,14.8,7.4
2020-21,22020,1610612740,NOP,New Orleans Pelicans,PRBallHandler,Offensive,0.483,72,0.178,0.898,0.444,0.094,0.133,0.083,0.025,0.421,0.479,20.3,18.3,7.2,16.3,9
2020-21,22020,1610612741,CHI,Chicago Bulls,PRBallHandler,Offensive,0.69,72,0.182,0.912,0.465,0.075,0.171,0.067,0.02,0.412,0.52,20,18.3,7.2,15.5,8.3
2020-21,22020,1610612760,OKC,Oklahoma City Thunder,PRBallHandler,Offensive,0.31,72,0.19,0.85,0.427,0.11,0.182,0.102,0.019,0.397,0.478,21.4,18.2,6.7,15.6,8.9
2020-21,22020,1610612755,PHI,Philadelphia 76ers,PRBallHandler,Offensive,0.586,72,0.172,0.908,0.453,0.092,0.12,0.082,0.017,0.435,0.481,19.2,17.4,7,15.4,8.4
