season_id,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season_year
22021,1610612756,PHX,Phoenix Suns,PRRollMan,Offensive,0.966,23,0.081,1.291,0.655,0.158,0.084,0.148,0.069,0.626,0.673,8.8,11.4,4.8,7.3,2.5,2021-22
22021,1610612737,ATL,Atlanta Hawks,PRRollMan,Offensive,0.931,23,0.073,1.264,0.603,0.148,0.027,0.148,0.038,0.604,0.641,7.9,10,4.1,6.8,2.7,2021-22
22021,1610612751,BKN,Brooklyn Nets,PRRollMan,Offensive,0.241,23,0.089,1.005,0.503,0.081,0.077,0.086,0.014,0.486,0.524,9.7,9.7,4.1,8.2,4.1,2021-22
22021,1610612747,LAL,Los Angeles Lakers,PRRollMan,Offensive,0.69,24,0.066,1.17,0.584,0.121,0.093,0.11,0.033,0.566,0.624,7.6,8.9,3.6,6.2,2.6,2021-22
22021,1610612757,POR,Portland Trail Blazers,PRRollMan,Offensive,0.621,24,0.067,1.166,0.564,0.149,0.091,0.143,0.04,0.56,0.604,7.3,8.5,3.3,5.8,2.5,2021-22
22021,1610612754,IND,Indiana Pacers,PRRollMan,Offensive,0.483,25,0.064,1.09,0.493,0.107,0.09,0.101,0.039,0.483,0.563,7.1,7.8,3,6,3,2021-22
22021,1610612758,SAC,Sacramento Kings,PRRollMan,Offensive,0.448,24,0.066,1.078,0.536,0.106,0.084,0.106,0.045,0.508,0.559,7.5,8,3.4,6.4,3,2021-22
22021,1610612760,OKC,Oklahoma City Thunder,PRRollMan,Offensive,0.276,22,0.078,1.005,0.444,0.111,0.068,0.116,0.026,0.453,0.516,8.6,8.7,3.2,7.3,4,2021-22
22021,1610612743,DEN,Denver Nuggets,PRRollMan,Offensive,0.172,22,0.083,0.984,0.426,0.098,0.052,0.093,0.026,0.446,0.488,8.8,8.6,3.3,7.7,4.4,2021-22
22021,1610612766,CHA,Charlotte Hornets,PRRollMan,Offensive,1,24,0.05,1.355,0.658,0.174,0.065,0.174,0.043,0.638,0.725,5.8,7.8,3,4.6,1.6,2021-22
22021,1610612739,CLE,Cleveland Cavaliers,PRRollMan,Offensive,0.207,23,0.075,1,0.49,0.108,0.102,0.108,0.032,0.473,0.536,8.1,8.1,3.3,6.7,3.4,2021-22
22021,1610612741,CHI,Chicago Bulls,PRRollMan,Offensive,0.138,24,0.074,0.954,0.448,0.072,0.093,0.067,0.005,0.443,0.509,8.1,7.7,3,6.8,3.8,2021-22
22021,1610612745,HOU,Houston Rockets,PRRollMan,Offensive,0.586,22,0.064,1.15,0.508,0.138,0.069,0.138,0.031,0.519,0.587,7.3,8.4,3,6,3,2021-22
22021,1610612748,MIA,Miami Heat,PRRollMan,Offensive,0.517,24,0.064,1.095,0.489,0.149,0.06,0.149,0.036,0.512,0.525,7,7.7,2.8,5.8,3,2021-22
22021,1610612764,WAS,Washington Wizards,PRRollMan,Offensive,0.828,23,0.059,1.209,0.6,0.142,0.088,0.142,0.041,0.574,0.633,6.4,7.8,3.1,5.2,2.1,2021-22
22021,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.862,24,0.055,1.214,0.597,0.145,0.076,0.131,0.041,0.593,0.643,6,7.3,3,5,2,2021-22
22021,1610612742,DAL,Dallas Mavericks,PRRollMan,Offensive,0.793,22,0.062,1.189,0.528,0.108,0.041,0.101,0.007,0.547,0.598,6.7,8,3,5.8,2.7,2021-22
22021,1610612762,UTA,Utah Jazz,PRRollMan,Offensive,0.552,22,0.065,1.11,0.537,0.174,0.071,0.168,0.039,0.542,0.557,7,7.8,3,5.6,2.6,2021-22
22021,1610612740,NOP,New Orleans Pelicans,PRRollMan,Offensive,0.724,25,0.052,1.171,0.5,0.123,0.041,0.116,0.027,0.521,0.571,5.8,6.8,2.5,5,2.5,2021-22
22021,1610612750,MIN,Minnesota Timberwolves,PRRollMan,Offensive,0.759,23,0.054,1.175,0.538,0.133,0.077,0.133,0.042,0.538,0.601,6.2,7.3,2.8,5.2,2.4,2021-22
22021,1610612749,MIL,Milwaukee Bucks,PRRollMan,Offensive,0.655,24,0.054,1.167,0.508,0.132,0.069,0.132,0.021,0.528,0.593,6,7,2.5,4.9,2.4,2021-22
22021,1610612759,SAS,San Antonio Spurs,PRRollMan,Offensive,0.31,21,0.065,1.033,0.543,0.118,0.059,0.111,0.026,0.516,0.55,7.3,7.5,3.3,6.1,2.8,2021-22
22021,1610612765,DET,Detroit Pistons,PRRollMan,Offensive,0.379,22,0.055,1.06,0.457,0.113,0.06,0.105,0.045,0.466,0.534,6,6.4,2.4,5.3,2.9,2021-22
22021,1610612763,MEM,Memphis Grizzlies,PRRollMan,Offensive,0.897,23,0.041,1.25,0.617,0.074,0.074,0.074,0.019,0.583,0.66,4.7,5.9,2.5,4.1,1.6,2021-22
22021,1610612752,NYK,New York Knicks,PRRollMan,Offensive,0.414,23,0.05,1.072,0.525,0.104,0.104,0.104,0.016,0.512,0.574,5.4,5.8,2.3,4.4,2.1,2021-22
22021,1610612753,ORL,Orlando Magic,PRRollMan,Offensive,0.034,24,0.06,0.836,0.369,0.063,0.05,0.063,0,0.377,0.429,6.6,5.5,2.2,5.9,3.7,2021-22
22021,1610612738,BOS,Boston Celtics,PRRollMan,Offensive,0.345,24,0.044,1.042,0.485,0.11,0.093,0.11,0.025,0.475,0.546,4.9,5.1,2,4,2.1,2021-22
22021,1610612755,PHI,Philadelphia 76ers,PRRollMan,Offensive,0.069,23,0.048,0.924,0.436,0.093,0.11,0.085,0.008,0.432,0.505,5.1,4.7,1.8,4.1,2.3,2021-22
22021,1610612761,TOR,Toronto Raptors,PRRollMan,Offensive,0.103,23,0.044,0.946,0.455,0.071,0.036,0.071,0.009,0.473,0.47,4.9,4.6,2,4.4,2.4,2021-22
22021,1610612744,GSW,Golden State Warriors,PRRollMan,Offensive,0,23,0.032,0.78,0.343,0.098,0.098,0.085,0.012,0.366,0.396,3.6,2.8,1,2.9,1.9,2021-22
