season_id,team_id,team_abbreviation,team_name,play_type,type_grouping,percentile,gp,poss_pct,ppp,fg_pct,ft_poss_pct,tov_poss_pct,sf_poss_pct,plusone_poss_pct,score_poss_pct,efg_pct,poss,pts,fgm,fga,fgmx,season_year
22021,1610612766,CHA,Charlotte Hornets,Transition,Offensive,0.69,24,0.193,1.117,0.518,0.121,0.122,0.104,0.021,0.501,0.603,22.1,24.7,8.9,17.2,8.3,2021-22
22021,1610612747,LAL,Los Angeles Lakers,Transition,Offensive,0.586,24,0.181,1.11,0.538,0.124,0.132,0.106,0.024,0.507,0.617,20.9,23.2,8.6,16,7.4,2021-22
22021,1610612763,MEM,Memphis Grizzlies,Transition,Offensive,0.345,23,0.186,1.069,0.494,0.112,0.098,0.096,0.022,0.479,0.566,21.3,22.8,8.6,17.3,8.8,2021-22
22021,1610612761,TOR,Toronto Raptors,Transition,Offensive,0.241,23,0.191,1.057,0.526,0.121,0.135,0.113,0.031,0.494,0.571,21.2,22.4,8.7,16.4,7.8,2021-22
22021,1610612741,CHI,Chicago Bulls,Transition,Offensive,1,24,0.16,1.221,0.612,0.144,0.139,0.125,0.034,0.565,0.675,17.3,21.2,8,13,5,2021-22
22021,1610612744,GSW,Golden State Warriors,Transition,Offensive,0.828,23,0.168,1.149,0.571,0.128,0.144,0.114,0.028,0.521,0.65,18.7,21.5,8,14.1,6,2021-22
22021,1610612749,MIL,Milwaukee Bucks,Transition,Offensive,0.276,24,0.174,1.062,0.485,0.144,0.108,0.129,0.03,0.477,0.564,19.4,20.6,7.3,15,7.8,2021-22
22021,1610612748,MIA,Miami Heat,Transition,Offensive,0.862,24,0.16,1.161,0.536,0.137,0.12,0.127,0.022,0.525,0.624,17.4,20.2,7.1,13.3,6.2,2021-22
22021,1610612756,PHX,Phoenix Suns,Transition,Offensive,0.966,23,0.161,1.18,0.538,0.106,0.101,0.094,0.022,0.517,0.624,17.7,20.8,7.7,14.4,6.7,2021-22
22021,1610612758,SAC,Sacramento Kings,Transition,Offensive,0.379,24,0.161,1.073,0.533,0.164,0.139,0.148,0.034,0.511,0.591,18.3,19.6,7.1,13.3,6.2,2021-22
22021,1610612740,NOP,New Orleans Pelicans,Transition,Offensive,0.724,25,0.149,1.118,0.517,0.118,0.118,0.108,0.014,0.501,0.605,16.6,18.6,6.7,12.9,6.2,2021-22
22021,1610612746,LAC,LA Clippers,Transition,Offensive,0.103,24,0.17,1.022,0.462,0.114,0.134,0.103,0.02,0.446,0.544,18.7,19.1,6.6,14.3,7.7,2021-22
22021,1610612759,SAS,San Antonio Spurs,Transition,Offensive,0.931,21,0.159,1.168,0.545,0.112,0.112,0.104,0.027,0.517,0.631,17.9,20.9,7.8,14.3,6.5,2021-22
22021,1610612753,ORL,Orlando Magic,Transition,Offensive,0.207,24,0.156,1.051,0.468,0.111,0.082,0.108,0.012,0.475,0.549,17.3,18.2,6.6,14.2,7.5,2021-22
22021,1610612750,MIN,Minnesota Timberwolves,Transition,Offensive,0.034,23,0.162,1.007,0.474,0.1,0.127,0.081,0.019,0.451,0.547,18.8,18.9,7,14.9,7.8,2021-22
22021,1610612754,IND,Indiana Pacers,Transition,Offensive,0.483,25,0.138,1.094,0.508,0.089,0.11,0.068,0.018,0.479,0.591,15.3,16.7,6.4,12.5,6.2,2021-22
22021,1610612752,NYK,New York Knicks,Transition,Offensive,0.793,23,0.145,1.137,0.524,0.137,0.09,0.123,0.025,0.521,0.6,15.9,18,6.6,12.6,6,2021-22
22021,1610612739,CLE,Cleveland Cavaliers,Transition,Offensive,0.655,23,0.149,1.116,0.524,0.122,0.119,0.111,0.041,0.497,0.601,16.1,18,6.7,12.9,6.1,2021-22
22021,1610612743,DEN,Denver Nuggets,Transition,Offensive,0.621,22,0.158,1.111,0.538,0.122,0.114,0.12,0.024,0.519,0.595,16.7,18.6,7.1,13.2,6.1,2021-22
22021,1610612765,DET,Detroit Pistons,Transition,Offensive,0.552,22,0.15,1.11,0.525,0.17,0.134,0.151,0.03,0.512,0.591,16.6,18.4,6.3,12,5.7,2021-22
22021,1610612751,BKN,Brooklyn Nets,Transition,Offensive,0.517,23,0.147,1.107,0.546,0.11,0.14,0.104,0.025,0.504,0.62,15.9,17.6,6.7,12.2,5.5,2021-22
22021,1610612762,UTA,Utah Jazz,Transition,Offensive,0.759,22,0.145,1.121,0.517,0.104,0.15,0.089,0.023,0.476,0.631,15.8,17.7,6.3,12.1,5.9,2021-22
22021,1610612745,HOU,Houston Rockets,Transition,Offensive,0,22,0.163,0.951,0.497,0.138,0.16,0.123,0.02,0.467,0.548,18.5,17.6,6.6,13.4,6.7,2021-22
22021,1610612737,ATL,Atlanta Hawks,Transition,Offensive,0.448,23,0.137,1.091,0.513,0.111,0.12,0.085,0.018,0.494,0.593,14.9,16.2,6,11.7,5.7,2021-22
22021,1610612760,OKC,Oklahoma City Thunder,Transition,Offensive,0.138,22,0.146,1.037,0.491,0.132,0.104,0.115,0.025,0.478,0.555,16.2,16.8,6.3,12.8,6.5,2021-22
22021,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.897,23,0.129,1.165,0.56,0.095,0.137,0.086,0.019,0.517,0.645,13.7,16,6,10.8,4.7,2021-22
